scenario,run,model,source,success,root_cause_verified,turns_used,diagnosis_duration_s,timestamp,failure_reason
2,"4","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,22,"2026-03-19T09:08:01+01:00","unknown"
2,"5","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,24,"2026-03-19T09:12:30+01:00","unknown"
2,"6","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,16,"2026-03-19T09:15:44+01:00","unknown"
2,"7","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,18,"2026-03-19T09:20:07+01:00","unknown"
2,"8","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,21,"2026-03-19T09:24:34+01:00","unknown"
2,"9","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,17,"2026-03-19T09:29:34+01:00","unknown"
2,"10","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,43,"2026-03-19T09:34:32+01:00","unknown"
2,"11","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,23,"2026-03-19T09:39:00+01:00","unknown"
2,"12","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,58,"2026-03-19T09:42:56+01:00","unknown"
2,"13","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,21,"2026-03-19T09:47:23+01:00","unknown"
2,"14","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,17,"2026-03-19T09:51:46+01:00","unknown"
2,"15","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,23,"2026-03-19T09:56:15+01:00","unknown"
2,"16","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,21,"2026-03-19T10:00:42+01:00","unknown"
2,"17","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,19,"2026-03-19T10:03:59+01:00","unknown"
2,"18","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,17,"2026-03-19T10:08:53+01:00","unknown"
2,"19","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,16,"2026-03-19T10:12:08+01:00","unknown"
2,"20","qwen/qwen3.5-397b-a17b","groundtruth",true,false,2,139,"2026-03-19T10:17:26+01:00","unknown"
2,"21","qwen/qwen3.5-397b-a17b","groundtruth",true,false,2,61,"2026-03-19T10:21:26+01:00","unknown"
2,"22","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,29,"2026-03-19T10:24:55+01:00","unknown"
2,"23","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,26,"2026-03-19T10:28:21+01:00","unknown"
2,"24","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,25,"2026-03-19T10:31:46+01:00","unknown"
2,"25","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,11,"2026-03-19T10:36:00+01:00","unknown"
2,"26","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,24,"2026-03-19T10:40:33+01:00","unknown"
2,"27","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,18,"2026-03-19T10:45:00+01:00","unknown"
2,"28","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,19,"2026-03-19T10:49:28+01:00","unknown"
2,"29","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,21,"2026-03-19T10:53:57+01:00","unknown"
2,"30","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,23,"2026-03-19T10:58:26+01:00","unknown"
3,"1","qwen/qwen3.5-397b-a17b","llm",true,true,1,17,"2026-03-19T10:58:54+01:00","unknown"
3,"2","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,26,"2026-03-19T10:59:30+01:00","unknown"
3,"3","qwen/qwen3.5-397b-a17b","llm",true,true,1,20,"2026-03-19T11:00:01+01:00","unknown"
3,"4","qwen/qwen3.5-397b-a17b","llm",true,true,1,21,"2026-03-19T11:00:33+01:00","unknown"
3,"5","qwen/qwen3.5-397b-a17b","llm",true,true,2,91,"2026-03-19T11:02:15+01:00","unknown"
3,"6","qwen/qwen3.5-397b-a17b","llm",true,true,2,73,"2026-03-19T11:03:38+01:00","unknown"
3,"7","qwen/qwen3.5-397b-a17b","llm",true,true,1,29,"2026-03-19T11:04:19+01:00","unknown"
3,"8","qwen/qwen3.5-397b-a17b","llm",true,true,1,18,"2026-03-19T11:04:47+01:00","unknown"
3,"9","qwen/qwen3.5-397b-a17b","llm",true,true,1,20,"2026-03-19T11:05:17+01:00","unknown"
3,"10","qwen/qwen3.5-397b-a17b","llm",true,true,1,18,"2026-03-19T11:05:48+01:00","unknown"
3,"11","qwen/qwen3.5-397b-a17b","llm",true,true,1,15,"2026-03-19T11:06:14+01:00","unknown"
3,"12","qwen/qwen3.5-397b-a17b","llm",true,true,1,18,"2026-03-19T11:06:42+01:00","unknown"
3,"13","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,22,"2026-03-19T11:07:15+01:00","unknown"
3,"14","qwen/qwen3.5-397b-a17b","llm",true,true,1,21,"2026-03-19T11:07:47+01:00","unknown"
3,"15","qwen/qwen3.5-397b-a17b","llm",true,true,1,18,"2026-03-19T11:08:17+01:00","unknown"
3,"16","qwen/qwen3.5-397b-a17b","llm",true,true,1,18,"2026-03-19T11:08:46+01:00","unknown"
3,"17","qwen/qwen3.5-397b-a17b","llm",true,true,1,22,"2026-03-19T11:09:19+01:00","unknown"
3,"18","qwen/qwen3.5-397b-a17b","llm",true,true,2,71,"2026-03-19T11:10:41+01:00","unknown"
3,"19","qwen/qwen3.5-397b-a17b","llm",true,true,2,57,"2026-03-19T11:11:50+01:00","unknown"
3,"20","qwen/qwen3.5-397b-a17b","llm",true,true,1,11,"2026-03-19T11:12:13+01:00","unknown"
3,"21","qwen/qwen3.5-397b-a17b","llm",true,true,1,18,"2026-03-19T11:12:42+01:00","unknown"
3,"22","qwen/qwen3.5-397b-a17b","llm",true,true,1,18,"2026-03-19T11:13:12+01:00","unknown"
3,"23","qwen/qwen3.5-397b-a17b","llm",true,true,1,17,"2026-03-19T11:13:40+01:00","unknown"
3,"24","qwen/qwen3.5-397b-a17b","llm",true,true,1,16,"2026-03-19T11:14:07+01:00","unknown"
3,"25","qwen/qwen3.5-397b-a17b","llm",true,true,1,19,"2026-03-19T11:14:37+01:00","unknown"
3,"26","qwen/qwen3.5-397b-a17b","llm",true,true,1,24,"2026-03-19T11:15:12+01:00","unknown"
3,"27","qwen/qwen3.5-397b-a17b","groundtruth",true,false,1,13,"2026-03-19T11:15:36+01:00","unknown"
3,"28","qwen/qwen3.5-397b-a17b","llm",true,true,1,17,"2026-03-19T11:16:04+01:00","unknown"
3,"29","qwen/qwen3.5-397b-a17b","llm",true,true,1,18,"2026-03-19T11:16:34+01:00","unknown"
3,"30","qwen/qwen3.5-397b-a17b","llm",true,true,1,19,"2026-03-19T11:17:05+01:00","unknown"
